Disease (MeSH Tree),Disease (MeSH Tree).1,Relationship
MeSH_Tree_Disease:C19.344.410.464,MeSH_Tree_Disease:C19.344.410,-subclass_of->
MeSH_Tree_Disease:C19.344.410.531,MeSH_Tree_Disease:C19.344.410,-subclass_of->
MeSH_Tree_Disease:C19.344.410.648,MeSH_Tree_Disease:C19.344.410,-subclass_of->
MeSH_Tree_Disease:C19.344.410.765,MeSH_Tree_Disease:C19.344.410,-subclass_of->
MeSH_Tree_Disease:C19.344.421,MeSH_Tree_Disease:C19.344,-subclass_of->
MeSH_Tree_Disease:C19.344.421.249,MeSH_Tree_Disease:C19.344.421,-subclass_of->
MeSH_Tree_Disease:C19.344.421.249.500,MeSH_Tree_Disease:C19.344.421.249,-subclass_of->
MeSH_Tree_Disease:C19.344.421.500,MeSH_Tree_Disease:C19.344.421,-subclass_of->
MeSH_Tree_Disease:C19.344.421.500.124,MeSH_Tree_Disease:C19.344.421.500,-subclass_of->
MeSH_Tree_Disease:C19.344.421.500.249,MeSH_Tree_Disease:C19.344.421.500,-subclass_of->
MeSH_Tree_Disease:C19.344.421.500.500,MeSH_Tree_Disease:C19.344.421.500,-subclass_of->
MeSH_Tree_Disease:C19.344.421.500.750,MeSH_Tree_Disease:C19.344.421.500,-subclass_of->
MeSH_Tree_Disease:C19.344.421.750,MeSH_Tree_Disease:C19.344.421,-subclass_of->
MeSH_Tree_Disease:C19.344.421.875,MeSH_Tree_Disease:C19.344.421,-subclass_of->
MeSH_Tree_Disease:C19.344.473,MeSH_Tree_Disease:C19.344,-subclass_of->
MeSH_Tree_Disease:C19.344.525,MeSH_Tree_Disease:C19.344,-subclass_of->
MeSH_Tree_Disease:C19.344.609,MeSH_Tree_Disease:C19.344,-subclass_of->
MeSH_Tree_Disease:C19.344.609.145,MeSH_Tree_Disease:C19.344.609,-subclass_of->
MeSH_Tree_Disease:C19.344.609.145.500,MeSH_Tree_Disease:C19.344.609.145,-subclass_of->
MeSH_Tree_Disease:C19.344.609.292,MeSH_Tree_Disease:C19.344.609,-subclass_of->
MeSH_Tree_Disease:C19.344.609.792,MeSH_Tree_Disease:C19.344.609,-subclass_of->
MeSH_Tree_Disease:C19.344.762,MeSH_Tree_Disease:C19.344,-subclass_of->
MeSH_Tree_Disease:C19.344.762.500,MeSH_Tree_Disease:C19.344.762,-subclass_of->
MeSH_Tree_Disease:C19.344.762.500.249,MeSH_Tree_Disease:C19.344.762.500,-subclass_of->
MeSH_Tree_Disease:C19.344.762.500.500,MeSH_Tree_Disease:C19.344.762.500,-subclass_of->
MeSH_Tree_Disease:C19.344.894,MeSH_Tree_Disease:C19.344,-subclass_of->
MeSH_Tree_Disease:C19.344.894.400,MeSH_Tree_Disease:C19.344.894,-subclass_of->
MeSH_Tree_Disease:C19.344.894.800,MeSH_Tree_Disease:C19.344.894,-subclass_of->
MeSH_Tree_Disease:C19.391,MeSH_Tree_Disease:C19,-subclass_of->
MeSH_Tree_Disease:C19.391.119,MeSH_Tree_Disease:C19.391,-subclass_of->
MeSH_Tree_Disease:C19.391.119.064,MeSH_Tree_Disease:C19.391.119,-subclass_of->
MeSH_Tree_Disease:C19.391.119.064.124,MeSH_Tree_Disease:C19.391.119.064,-subclass_of->
MeSH_Tree_Disease:C19.391.119.064.249,MeSH_Tree_Disease:C19.391.119.064,-subclass_of->
MeSH_Tree_Disease:C19.391.119.064.500,MeSH_Tree_Disease:C19.391.119.064,-subclass_of->
MeSH_Tree_Disease:C19.391.119.090,MeSH_Tree_Disease:C19.391.119,-subclass_of->
MeSH_Tree_Disease:C19.391.119.090.500,MeSH_Tree_Disease:C19.391.119.090,-subclass_of->
MeSH_Tree_Disease:C19.391.119.090.750,MeSH_Tree_Disease:C19.391.119.090,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096,MeSH_Tree_Disease:C19.391.119,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096.500,MeSH_Tree_Disease:C19.391.119.096,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096.562,MeSH_Tree_Disease:C19.391.119.096,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096.624,MeSH_Tree_Disease:C19.391.119.096,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096.687,MeSH_Tree_Disease:C19.391.119.096,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096.687.500,MeSH_Tree_Disease:C19.391.119.096.687,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096.750,MeSH_Tree_Disease:C19.391.119.096,-subclass_of->
MeSH_Tree_Disease:C19.391.119.096.875,MeSH_Tree_Disease:C19.391.119.096,-subclass_of->
MeSH_Tree_Disease:C19.391.119.309,MeSH_Tree_Disease:C19.391.119,-subclass_of->
MeSH_Tree_Disease:C19.391.119.309.193,MeSH_Tree_Disease:C19.391.119.309,-subclass_of->
MeSH_Tree_Disease:C19.391.119.309.388,MeSH_Tree_Disease:C19.391.119.309,-subclass_of->
MeSH_Tree_Disease:C19.391.119.309.388.500,MeSH_Tree_Disease:C19.391.119.309.388,-subclass_of->
MeSH_Tree_Disease:C19.391.119.309.391,MeSH_Tree_Disease:C19.391.119.309,-subclass_of->
MeSH_Tree_Disease:C19.391.119.309.631,MeSH_Tree_Disease:C19.391.119.309,-subclass_of->
MeSH_Tree_Disease:C19.391.119.309.872,MeSH_Tree_Disease:C19.391.119.309,-subclass_of->
MeSH_Tree_Disease:C19.391.119.343,MeSH_Tree_Disease:C19.391.119,-subclass_of->
MeSH_Tree_Disease:C19.391.119.795,MeSH_Tree_Disease:C19.391.119,-subclass_of->
MeSH_Tree_Disease:C19.391.119.795.124,MeSH_Tree_Disease:C19.391.119.795,-subclass_of->
MeSH_Tree_Disease:C19.391.119.795.249,MeSH_Tree_Disease:C19.391.119.795,-subclass_of->
MeSH_Tree_Disease:C19.391.119.795.500,MeSH_Tree_Disease:C19.391.119.795,-subclass_of->
MeSH_Tree_Disease:C19.391.119.795.750,MeSH_Tree_Disease:C19.391.119.795,-subclass_of->
MeSH_Tree_Disease:C19.391.482,MeSH_Tree_Disease:C19.391,-subclass_of->
MeSH_Tree_Disease:C19.391.482.293,MeSH_Tree_Disease:C19.391.482,-subclass_of->
MeSH_Tree_Disease:C19.391.482.600,MeSH_Tree_Disease:C19.391.482,-subclass_of->
MeSH_Tree_Disease:C19.391.482.629,MeSH_Tree_Disease:C19.391.482,-subclass_of->
MeSH_Tree_Disease:C19.391.482.814,MeSH_Tree_Disease:C19.391.482,-subclass_of->
MeSH_Tree_Disease:C19.391.630,MeSH_Tree_Disease:C19.391,-subclass_of->
MeSH_Tree_Disease:C19.391.630.050,MeSH_Tree_Disease:C19.391.630,-subclass_of->
MeSH_Tree_Disease:C19.391.630.450,MeSH_Tree_Disease:C19.391.630,-subclass_of->
MeSH_Tree_Disease:C19.391.630.580,MeSH_Tree_Disease:C19.391.630,-subclass_of->
MeSH_Tree_Disease:C19.391.630.580.765,MeSH_Tree_Disease:C19.391.630.580,-subclass_of->
MeSH_Tree_Disease:C19.391.630.642,MeSH_Tree_Disease:C19.391.630,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705,MeSH_Tree_Disease:C19.391.630,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.265,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.331,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.350,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.398,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.431,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.464,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.531,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.648,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.705.765,MeSH_Tree_Disease:C19.391.630.705,-subclass_of->
MeSH_Tree_Disease:C19.391.630.728,MeSH_Tree_Disease:C19.391.630,-subclass_of->
MeSH_Tree_Disease:C19.391.630.750,MeSH_Tree_Disease:C19.391.630,-subclass_of->
MeSH_Tree_Disease:C19.391.690,MeSH_Tree_Disease:C19.391,-subclass_of->
MeSH_Tree_Disease:C19.391.693,MeSH_Tree_Disease:C19.391,-subclass_of->
MeSH_Tree_Disease:C19.391.829,MeSH_Tree_Disease:C19.391,-subclass_of->
MeSH_Tree_Disease:C19.391.829.258,MeSH_Tree_Disease:C19.391.829,-subclass_of->
MeSH_Tree_Disease:C19.391.829.493,MeSH_Tree_Disease:C19.391.829,-subclass_of->
MeSH_Tree_Disease:C19.391.829.782,MeSH_Tree_Disease:C19.391.829,-subclass_of->
MeSH_Tree_Disease:C19.391.829.782.500,MeSH_Tree_Disease:C19.391.829.782,-subclass_of->
MeSH_Tree_Disease:C19.391.829.782.500.249,MeSH_Tree_Disease:C19.391.829.782.500,-subclass_of->
MeSH_Tree_Disease:C19.391.829.782.500.500,MeSH_Tree_Disease:C19.391.829.782.500,-subclass_of->
MeSH_Tree_Disease:C19.642,MeSH_Tree_Disease:C19,-subclass_of->
MeSH_Tree_Disease:C19.642.355,MeSH_Tree_Disease:C19.642,-subclass_of->
MeSH_Tree_Disease:C19.642.355.239,MeSH_Tree_Disease:C19.642.355,-subclass_of->
MeSH_Tree_Disease:C19.642.355.480,MeSH_Tree_Disease:C19.642.355,-subclass_of->
MeSH_Tree_Disease:C19.642.355.480.500,MeSH_Tree_Disease:C19.642.355.480,-subclass_of->
MeSH_Tree_Disease:C19.642.482,MeSH_Tree_Disease:C19.642,-subclass_of->
MeSH_Tree_Disease:C19.642.482.500,MeSH_Tree_Disease:C19.642.482,-subclass_of->
MeSH_Tree_Disease:C19.642.482.500.500,MeSH_Tree_Disease:C19.642.482.500,-subclass_of->
MeSH_Tree_Disease:C19.642.713,MeSH_Tree_Disease:C19.642,-subclass_of->
MeSH_Tree_Disease:C19.700,MeSH_Tree_Disease:C19,-subclass_of->
MeSH_Tree_Disease:C19.700.159,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.159.750,MeSH_Tree_Disease:C19.700.159,-subclass_of->
MeSH_Tree_Disease:C19.700.159.875,MeSH_Tree_Disease:C19.700.159,-subclass_of->
MeSH_Tree_Disease:C19.700.320,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.355,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.355.179,MeSH_Tree_Disease:C19.700.355,-subclass_of->
MeSH_Tree_Disease:C19.700.355.528,MeSH_Tree_Disease:C19.700.355,-subclass_of->
MeSH_Tree_Disease:C19.700.355.600,MeSH_Tree_Disease:C19.700.355,-subclass_of->
MeSH_Tree_Disease:C19.700.355.800,MeSH_Tree_Disease:C19.700.355,-subclass_of->
MeSH_Tree_Disease:C19.700.419,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.419.500,MeSH_Tree_Disease:C19.700.419,-subclass_of->
MeSH_Tree_Disease:C19.700.482,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.482.311,MeSH_Tree_Disease:C19.700.482,-subclass_of->
MeSH_Tree_Disease:C19.700.490,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.725,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.734,MeSH_Tree_Disease:C19.700,-subclass_of->
MeSH_Tree_Disease:C19.700.734.145,MeSH_Tree_Disease:C19.700.734,-subclass_of->
MeSH_Tree_Disease:C19.700.734.145.500,MeSH_Tree_Disease:C19.700.734.145,-subclass_of->
MeSH_Tree_Disease:C19.700.734.292,MeSH_Tree_Disease:C19.700.734,-subclass_of->
MeSH_Tree_Disease:C19.700.734.792,MeSH_Tree_Disease:C19.700.734,-subclass_of->
MeSH_Tree_Disease:C19.787,MeSH_Tree_Disease:C19,-subclass_of->
MeSH_Tree_Disease:C19.874,MeSH_Tree_Disease:C19,-subclass_of->
MeSH_Tree_Disease:C19.874.255,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.283,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.283.300,MeSH_Tree_Disease:C19.874.283,-subclass_of->
MeSH_Tree_Disease:C19.874.283.501,MeSH_Tree_Disease:C19.874.283,-subclass_of->
MeSH_Tree_Disease:C19.874.283.601,MeSH_Tree_Disease:C19.874.283,-subclass_of->
MeSH_Tree_Disease:C19.874.283.605,MeSH_Tree_Disease:C19.874.283,-subclass_of->
MeSH_Tree_Disease:C19.874.283.605.500,MeSH_Tree_Disease:C19.874.283.605,-subclass_of->
MeSH_Tree_Disease:C19.874.283.802,MeSH_Tree_Disease:C19.874.283,-subclass_of->
MeSH_Tree_Disease:C19.874.397,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.397.370,MeSH_Tree_Disease:C19.874.397,-subclass_of->
MeSH_Tree_Disease:C19.874.397.370.500,MeSH_Tree_Disease:C19.874.397.370,-subclass_of->
MeSH_Tree_Disease:C19.874.397.685,MeSH_Tree_Disease:C19.874.397,-subclass_of->
MeSH_Tree_Disease:C19.874.397.685.905,MeSH_Tree_Disease:C19.874.397.685,-subclass_of->
MeSH_Tree_Disease:C19.874.410,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.410.249,MeSH_Tree_Disease:C19.874.410,-subclass_of->
MeSH_Tree_Disease:C19.874.410.500,MeSH_Tree_Disease:C19.874.410,-subclass_of->
MeSH_Tree_Disease:C19.874.482,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.482.281,MeSH_Tree_Disease:C19.874.482,-subclass_of->
MeSH_Tree_Disease:C19.874.482.638,MeSH_Tree_Disease:C19.874.482,-subclass_of->
MeSH_Tree_Disease:C19.874.689,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.689.500,MeSH_Tree_Disease:C19.874.689,-subclass_of->
MeSH_Tree_Disease:C19.874.689.500.500,MeSH_Tree_Disease:C19.874.689.500,-subclass_of->
MeSH_Tree_Disease:C19.874.788,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.788.400,MeSH_Tree_Disease:C19.874.788,-subclass_of->
MeSH_Tree_Disease:C19.874.788.800,MeSH_Tree_Disease:C19.874.788,-subclass_of->
MeSH_Tree_Disease:C19.874.871,MeSH_Tree_Disease:C19.874,-subclass_of->
MeSH_Tree_Disease:C19.874.871.102,MeSH_Tree_Disease:C19.874.871,-subclass_of->
MeSH_Tree_Disease:C19.874.871.102.500,MeSH_Tree_Disease:C19.874.871.102,-subclass_of->
MeSH_Tree_Disease:C19.874.871.102.750,MeSH_Tree_Disease:C19.874.871.102,-subclass_of->
MeSH_Tree_Disease:C19.874.871.900,MeSH_Tree_Disease:C19.874.871,-subclass_of->
MeSH_Tree_Disease:C19.874.871.910,MeSH_Tree_Disease:C19.874.871,-subclass_of->
MeSH_Tree_Disease:C19.927,MeSH_Tree_Disease:C19,-subclass_of->
MeSH_Tree_Disease:C20.111,MeSH_Tree_Disease:C20,-subclass_of->
MeSH_Tree_Disease:C20.111.163,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.175,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.190,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.193,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.193.500,MeSH_Tree_Disease:C20.111.193,-subclass_of->
MeSH_Tree_Disease:C20.111.193.750,MeSH_Tree_Disease:C20.111.193,-subclass_of->
MeSH_Tree_Disease:C20.111.193.875,MeSH_Tree_Disease:C20.111.193,-subclass_of->
MeSH_Tree_Disease:C20.111.197,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.198,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.199,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.199.389,MeSH_Tree_Disease:C20.111.199,-subclass_of->
MeSH_Tree_Disease:C20.111.199.581,MeSH_Tree_Disease:C20.111.199,-subclass_of->
MeSH_Tree_Disease:C20.111.199.774,MeSH_Tree_Disease:C20.111.199,-subclass_of->
MeSH_Tree_Disease:C20.111.199.870,MeSH_Tree_Disease:C20.111.199,-subclass_of->
MeSH_Tree_Disease:C20.111.258,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.258.124,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.175,MeSH_Tree_Disease:C20.111.258.250,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.350,MeSH_Tree_Disease:C20.111.258.250,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.350.500,MeSH_Tree_Disease:C20.111.258.250.350,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.500,MeSH_Tree_Disease:C20.111.258.250,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.500.200,MeSH_Tree_Disease:C20.111.258.250.500,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.500.600,MeSH_Tree_Disease:C20.111.258.250.500,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.550,MeSH_Tree_Disease:C20.111.258.250,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.550.500,MeSH_Tree_Disease:C20.111.258.250.550,-subclass_of->
MeSH_Tree_Disease:C20.111.258.250.775,MeSH_Tree_Disease:C20.111.258.250,-subclass_of->
MeSH_Tree_Disease:C20.111.258.500,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.500.150,MeSH_Tree_Disease:C20.111.258.500,-subclass_of->
MeSH_Tree_Disease:C20.111.258.500.300,MeSH_Tree_Disease:C20.111.258.500,-subclass_of->
MeSH_Tree_Disease:C20.111.258.500.650,MeSH_Tree_Disease:C20.111.258.500,-subclass_of->
MeSH_Tree_Disease:C20.111.258.625,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.625.300,MeSH_Tree_Disease:C20.111.258.625,-subclass_of->
MeSH_Tree_Disease:C20.111.258.625.350,MeSH_Tree_Disease:C20.111.258.625,-subclass_of->
MeSH_Tree_Disease:C20.111.258.625.700,MeSH_Tree_Disease:C20.111.258.625,-subclass_of->
MeSH_Tree_Disease:C20.111.258.750,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.750.400,MeSH_Tree_Disease:C20.111.258.750,-subclass_of->
MeSH_Tree_Disease:C20.111.258.750.400.500,MeSH_Tree_Disease:C20.111.258.750.400,-subclass_of->
MeSH_Tree_Disease:C20.111.258.750.800,MeSH_Tree_Disease:C20.111.258.750,-subclass_of->
MeSH_Tree_Disease:C20.111.258.850,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.925,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.962,MeSH_Tree_Disease:C20.111.258,-subclass_of->
MeSH_Tree_Disease:C20.111.258.962.800,MeSH_Tree_Disease:C20.111.258.962,-subclass_of->
MeSH_Tree_Disease:C20.111.258.962.900,MeSH_Tree_Disease:C20.111.258.962,-subclass_of->
MeSH_Tree_Disease:C20.111.273,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.288,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.296,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.303,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.318,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.327,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.525,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.535,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.555,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.555.500,MeSH_Tree_Disease:C20.111.555,-subclass_of->
MeSH_Tree_Disease:C20.111.567,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.572,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.576,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.585,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.590,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.590.560,MeSH_Tree_Disease:C20.111.590,-subclass_of->
MeSH_Tree_Disease:C20.111.590.750,MeSH_Tree_Disease:C20.111.590,-subclass_of->
MeSH_Tree_Disease:C20.111.709,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.730,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.736,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.750,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.759,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.809,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.111.904,MeSH_Tree_Disease:C20.111,-subclass_of->
MeSH_Tree_Disease:C20.306,MeSH_Tree_Disease:C20,-subclass_of->
MeSH_Tree_Disease:C20.306.480,MeSH_Tree_Disease:C20.306,-subclass_of->
MeSH_Tree_Disease:C20.306.502,MeSH_Tree_Disease:C20.306,-subclass_of->
MeSH_Tree_Disease:C20.425,MeSH_Tree_Disease:C20,-subclass_of->
MeSH_Tree_Disease:C20.452,MeSH_Tree_Disease:C20,-subclass_of->
MeSH_Tree_Disease:C20.452.500,MeSH_Tree_Disease:C20.452,-subclass_of->
MeSH_Tree_Disease:C20.543,MeSH_Tree_Disease:C20,-subclass_of->
MeSH_Tree_Disease:C20.543.103,MeSH_Tree_Disease:C20.543,-subclass_of->
MeSH_Tree_Disease:C20.543.312,MeSH_Tree_Disease:C20.543,-subclass_of->
MeSH_Tree_Disease:C20.543.312.500,MeSH_Tree_Disease:C20.543.312,-subclass_of->
MeSH_Tree_Disease:C20.543.312.750,MeSH_Tree_Disease:C20.543.312,-subclass_of->
MeSH_Tree_Disease:C20.543.418,MeSH_Tree_Disease:C20.543,-subclass_of->
MeSH_Tree_Disease:C20.543.418.075,MeSH_Tree_Disease:C20.543.418,-subclass_of->
MeSH_Tree_Disease:C20.543.418.150,MeSH_Tree_Disease:C20.543.418,-subclass_of->
MeSH_Tree_Disease:C20.543.418.150.600,MeSH_Tree_Disease:C20.543.418.150,-subclass_of->
MeSH_Tree_Disease:C20.543.418.150.700,MeSH_Tree_Disease:C20.543.418.150,-subclass_of->
MeSH_Tree_Disease:C20.543.418.257,MeSH_Tree_Disease:C20.543.418,-subclass_of->
MeSH_Tree_Disease:C20.543.418.310,MeSH_Tree_Disease:C20.543.418,-subclass_of->
MeSH_Tree_Disease:C20.543.418.575,MeSH_Tree_Disease:C20.543.418,-subclass_of->
MeSH_Tree_Disease:C20.543.418.575.725,MeSH_Tree_Disease:C20.543.418.575,-subclass_of->
MeSH_Tree_Disease:C20.543.418.575.865,MeSH_Tree_Disease:C20.543.418.575,-subclass_of->
MeSH_Tree_Disease:C20.543.418.787,MeSH_Tree_Disease:C20.543.418,-subclass_of->
MeSH_Tree_Disease:C20.543.480,MeSH_Tree_Disease:C20.543,-subclass_of->
MeSH_Tree_Disease:C20.543.480.099,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.149,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.200,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.343,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.356,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.363,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.363.500,MeSH_Tree_Disease:C20.543.480.363,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370.150,MeSH_Tree_Disease:C20.543.480.370,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370.500,MeSH_Tree_Disease:C20.543.480.370,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370.572,MeSH_Tree_Disease:C20.543.480.370,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370.572.500,MeSH_Tree_Disease:C20.543.480.370.572,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370.572.750,MeSH_Tree_Disease:C20.543.480.370.572,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370.763,MeSH_Tree_Disease:C20.543.480.370,-subclass_of->
MeSH_Tree_Disease:C20.543.480.370.850,MeSH_Tree_Disease:C20.543.480.370,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680,MeSH_Tree_Disease:C20.543.480,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.038,MeSH_Tree_Disease:C20.543.480.680,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.075,MeSH_Tree_Disease:C20.543.480.680,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.075.125,MeSH_Tree_Disease:C20.543.480.680.075,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.075.365,MeSH_Tree_Disease:C20.543.480.680.075,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.075.682,MeSH_Tree_Disease:C20.543.480.680.075,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.085,MeSH_Tree_Disease:C20.543.480.680,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.095,MeSH_Tree_Disease:C20.543.480.680,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.095.110,MeSH_Tree_Disease:C20.543.480.680.095,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.095.495,MeSH_Tree_Disease:C20.543.480.680.095,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.095.880,MeSH_Tree_Disease:C20.543.480.680.095,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.443,MeSH_Tree_Disease:C20.543.480.680,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.443.500,MeSH_Tree_Disease:C20.543.480.680.443,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.443.500.500,MeSH_Tree_Disease:C20.543.480.680.443.500,-subclass_of->
MeSH_Tree_Disease:C20.543.480.680.443.750,MeSH_Tree_Disease:C20.543.480.680.443,-subclass_of->
MeSH_Tree_Disease:C20.543.480.904,MeSH_Tree_Disease:C20.543.480,-subclass_of->
